Station,prDM,Unnamed: 0.1,Unnamed: 0,latitude,longitude,timeJ,t090C,T0,c0S/m,C0,p,sbeox0V,oxy0,dz/dtM,flECO-AFL,upoly0,sal00,sbox0Mm/Kg,depSM,flag,Year,Fluorescence,sbeox0ML/L,density00,svCM,scan,t190C,T1,c1S/m,C1,sbeox1V,oxy1,xmiss,potemp090C,sbeox0PS
ST_1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST_1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST_1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST_1,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST_1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST_1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST_1,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST_1,0.7000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST_1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST_1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST_1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST_1,1.1,1528.279296875,1528.279296875,58.34242,11.89534,,15.4722765625,15.4722765625,2.7608170859374996,2.7608170859374996,1.1,,6.1620152343750005,,2.2677498046875,,21.209135546875,,1.0890312500000001,0.0,2020.0,0.022677498046874998,6.1620152343750005,1015.2818498046876,1492.2369921875,,,,,,,,,,
ST_1,1.2000000000000002,1535.357142857143,1535.357142857143,58.34242,11.89534,,15.47309761904762,15.47309761904762,2.7602083571428575,2.7602083571428575,1.2000000000000002,,6.1703785714285715,,2.2217285714285713,,21.203514285714284,,1.188214285714286,0.0,2020.0,0.022217285714285714,6.1703785714285715,1015.2778428571429,1492.2366666666667,,,,,,,,,,
ST_1,1.3,1541.2857142857142,1541.2857142857142,58.34242,11.89534,,15.47440044642857,15.47440044642857,2.759756955357143,2.759756955357143,1.3,,6.16810625,,2.2226,,21.19897544642857,,1.2875535714285715,0.0,2020.0,0.022226,6.16810625,1015.2745625,1492.2363392857144,,,,,,,,,,
ST_1,1.4000000000000001,1546.2727272727273,1546.2727272727273,58.34242,11.89534,,15.469884545454546,15.469884545454546,2.756846581818182,2.756846581818182,1.4000000000000001,,6.17048090909091,,2.2171654545454547,,21.176833636363636,,1.3870000000000002,0.0,2020.0,0.02217165454545454,6.17048090909091,1015.258920909091,1492.1978181818183,,,,,,,,,,
ST_1,1.5,1551.232142857143,1551.232142857143,58.34242,11.89534,,15.467446428571428,15.467446428571428,2.754876410714286,2.754876410714286,1.5,,6.168280357142857,,2.2226,,21.161435714285716,,1.4860892857142858,0.0,2020.0,0.022226,6.168280357142857,1015.2480745535715,1492.1731696428574,,,,,,,,,,
ST_1,1.6,1557.857142857143,1557.857142857143,58.34242,11.89534,,15.47600357142857,15.47600357142857,2.759763357142857,2.759763357142857,1.6,,6.159157142857143,,2.1655214285714286,,21.198107142857147,,1.5854285714285714,0.0,2020.0,0.021655214285714274,6.159157142857143,1015.2749321428571,1492.2464285714286,,,,,,,,,,
ST_1,1.7000000000000002,1563.5357142857142,1563.5357142857142,58.34242,11.89534,,15.489408928571429,15.489408928571429,2.7704872410714287,2.7704872410714287,1.7000000000000002,,6.145023214285715,,2.1616,,21.281468750000002,,1.6847678571428573,0.0,2020.0,0.021616,6.145023214285715,1015.3365401785713,1492.388392857143,,,,,,,,,,
ST_1,1.8,1566.0714285714287,1566.0714285714287,58.34242,11.89534,,15.495435714285714,15.495435714285714,2.7747389880952382,2.7747389880952382,1.8,,6.1410535714285714,,2.1616,,21.31407738095238,,1.783547619047619,0.0,2020.0,0.021616,6.1410535714285714,1015.3607892857143,1492.442738095238,,,,,,,,,,
ST_1,1.9000000000000001,1571.7272727272727,1571.7272727272727,58.34242,11.89534,,15.505843636363636,15.505843636363636,2.7814593000000003,2.7814593000000003,1.9000000000000001,,6.12902909090909,,2.1616,,21.365202727272727,,1.8820000000000001,0.0,2020.0,0.021616,6.12902909090909,1015.3983309090909,1492.5388181818182,,,,,,,,,,
ST_1,2.0,1576.6454545454546,1576.6454545454546,58.34242,11.89534,,15.50853090909091,15.50853090909091,2.7823940636363638,2.7823940636363638,2.0,,6.124212727272727,,2.158938181818182,,21.37162181818182,,1.9809999999999999,0.0,2020.0,0.02158938181818182,6.124212727272727,1015.4031581818182,1492.5582727272729,,,,,,,,,,
ST_1,2.1,1581.0,1581.0,58.34242,11.89534,,15.507433333333333,15.507433333333333,2.782177666666667,2.782177666666667,2.1,,6.1234,,2.1697333333333333,,21.37036666666667,,2.08,0.0,2020.0,0.021697333333333336,6.1234,1015.4028666666667,1492.5566666666666,,,,,,,,,,
ST_1,2.2,1585.7380952380952,1585.7380952380952,58.34242,11.89534,,15.501527380952382,15.501527380952382,2.782091267857143,2.782091267857143,2.2,,6.124111904761905,,2.1738,,21.372835714285713,,2.1791964285714287,0.0,2020.0,0.021738,6.124111904761905,1015.4063339285715,1492.54,,,,,,,,,,
