Station,prDM,Column1,scan,p,t090C,T0,t190C,T1,c0S/m,C0,c1S/m,C1,sbeox0V,oxy0,sbeox1V,oxy1,flECO-AFL,upoly0,depSM,sal00,sal11,sbeox0ML/L,sbeox1ML/L,flag,Year
ST_10_tue,2.5,59708.124999999985,3310.1249999999836,2.5,15.346050000000002,15.346050000000002,15.3108125,15.3108125,2.992489125000001,2.992489125000001,2.9856231250000005,2.9856231250000005,2.6702249999999967,2.6702249999999967,2.6490624999999977,2.6490624999999977,0.005112499999999993,0.18515907499999978,2.4770000000000003,23.249850000000006,23.212000000000003,6.440037499999993,5.547224999999995,-9.99e-29,2021.0
ST_10_tue,2.6,59562.500000000065,3164.5000000000655,2.6,15.37034999999999,15.37034999999999,15.326599999999994,15.326599999999994,2.999704499999997,2.999704499999997,2.9911344999999976,2.9911344999999976,2.637050000000013,2.637050000000013,2.626600000000009,2.626600000000009,0.004950000000000039,0.18311525000000084,2.576,23.29719999999998,23.249899999999986,6.36745000000003,5.500650000000019,-9.99e-29,2021.0
ST_10_tue,2.7,58327.55555555554,1929.5555555555375,2.7,15.152877777777768,15.152877777777768,15.154344444444439,15.154344444444439,2.9000918888888854,2.9000918888888854,2.917501999999997,2.917501999999997,2.2182555555555474,2.2182555555555474,2.180922222222212,2.180922222222212,0.0051888888888889,0.18934073333333373,2.6750000000000003,22.569611111111087,22.71861111111109,5.098811111111083,4.430833333333308,-2.219999999999781e-29,2021.0
ST_10_tue,2.8000000000000003,59154.49999999994,2756.4999999999445,2.8000000000000003,15.163299999999994,15.163299999999994,15.174199999999995,15.174199999999995,2.915966999999997,2.915966999999997,2.9294014999999978,2.9294014999999978,2.445599999999983,2.445599999999983,2.3960499999999825,2.3960499999999825,0.0051999999999999946,0.1929339500000001,2.7740000000000005,22.700499999999977,22.809449999999984,5.72829999999995,4.936799999999959,-4.9949999999997225e-29,2021.0
ST_10_tue,2.9000000000000004,60071.30769230766,3673.3076923076605,2.9000000000000004,15.275438461538467,15.275438461538467,15.272461538461544,15.272461538461544,2.9736290000000016,2.9736290000000016,2.9739300769230783,2.9739300769230783,2.7361538461538393,2.7361538461538393,2.6949923076923032,2.6949923076923032,0.005446153846153827,0.19018296153846106,2.873,23.12986923076924,23.134292307692316,6.591676923076908,5.648099999999991,-9.99e-29,2021.0
ST_10_tue,3.0,58337.44444444442,1939.444444444427,3.0,15.160977777777768,15.160977777777768,15.157622222222214,15.157622222222214,2.898492666666663,2.898492666666663,2.915008999999997,2.915008999999997,2.2113888888888815,2.2113888888888815,2.188455555555546,2.188455555555546,0.00503333333333334,0.19174378888888938,2.9720000000000004,22.551177777777752,22.69497777777776,5.094977777777752,4.4703888888888645,-2.219999999999781e-29,2021.0
ST_10_tue,3.1,58636.799999999996,2238.799999999993,3.1,15.316279999999997,15.316279999999997,15.308199999999996,15.308199999999996,2.9614661999999985,2.9614661999999985,2.9701347999999985,2.9701347999999985,2.337519999999997,2.337519999999997,2.350339999999996,2.350339999999996,0.0049200000000000025,0.18344120000000022,3.071,23.000019999999992,23.07919999999999,5.54561999999999,4.88285999999999,-5.993999999999911e-29,2021.0
ST_10_tue,3.2,58945.0,2547.0,3.2,15.472,15.472,15.4834,15.4834,3.027835,3.027835,3.033174,3.033174,2.4636,2.4636,2.5118,2.5118,0.0048,0.1736895,3.17,23.4779,23.5167,6.0241,5.3124,-9.99e-29,2021.0
ST_10_tue,3.3000000000000003,59431.12500000008,3033.1250000000837,3.3000000000000003,15.176237500000006,15.176237500000006,15.174300000000008,15.174300000000008,2.9250291250000044,2.9250291250000044,2.934042500000004,2.934042500000004,2.523487500000026,2.523487500000026,2.482387500000025,2.482387500000025,0.005675000000000025,0.19621956249999964,3.269,22.770812500000034,22.849187500000028,5.965212500000076,5.142787500000059,-6.243750000000416e-29,2021.0
ST_10_tue,3.4000000000000004,58334.20000000002,1936.20000000002,3.4000000000000004,15.16090000000001,15.16090000000001,15.150440000000012,15.150440000000012,2.8905272000000046,2.8905272000000046,2.9084944000000044,2.9084944000000044,2.194360000000008,2.194360000000008,2.18592000000001,2.18592000000001,0.005199999999999987,0.19719459999999922,3.3680000000000003,22.48304000000003,22.642800000000033,5.062860000000033,4.4563600000000285,-1.998000000000266e-29,2021.0
ST_10_tue,3.5,58190.0,1792.0,3.5,15.087,15.087,15.0506,15.0506,2.855163,2.855163,2.874092,2.874092,2.1322,2.1322,2.1114,2.1114,0.0053,0.2032204,3.467,22.2233,22.4063,4.8086,4.2327,0.0,2021.0
ST_10_tue,3.6,60197.0,3799.0,3.6,15.2335,15.2335,15.2396,15.2396,2.965798,2.965798,2.969113,2.969113,2.7587,2.7587,2.7083,2.7083,0.0055,0.1940606,3.566,23.0873,23.1121,6.656,5.6811,-9.99e-29,2021.0
ST_10_tue,3.7,59433.40000000001,3035.4000000000115,3.7,15.407079999999997,15.407079999999997,15.428439999999997,15.428439999999997,3.0091899999999994,3.0091899999999994,3.016572799999999,3.016572799999999,2.5389000000000035,2.5389000000000035,2.558020000000002,2.558020000000002,0.0050800000000000055,0.17966192000000022,3.665,23.356119999999997,23.406519999999993,6.327940000000004,5.463080000000003,-9.99e-29,2021.0
ST_10_tue,3.8000000000000003,59008.21428571431,2610.214285714315,3.8000000000000003,15.530014285714278,15.530014285714278,15.541764285714278,15.541764285714278,3.037965642857141,3.037965642857141,3.044245142857141,3.044245142857141,2.3960571428571518,2.3960571428571518,2.460821428571435,2.460821428571435,0.004850000000000016,0.16798537857142923,3.7640000000000002,23.529521428571417,23.576207142857132,6.158621428571441,5.342064285714294,-9.99e-29,2021.0
ST_10_tue,3.9000000000000004,59777.66666666654,3379.6666666665383,3.9000000000000004,15.351700000000035,15.351700000000035,15.350000000000032,15.350000000000032,2.994369000000008,2.994369000000008,2.996536000000008,2.996536000000008,2.6196999999999586,2.6196999999999586,2.6133333333333053,2.6133333333333053,0.005199999999999911,0.18365703333332994,3.863666666666667,23.261766666666716,23.281400000000048,6.475733333333279,5.557899999999964,-9.99e-29,2021.0
ST_10_tue,4.0,58355.6,1957.6,4.0,15.2243,15.2243,15.11266,15.11266,2.8936412,2.8936412,2.9040318,2.9040318,2.16,2.16,2.16858,2.16858,0.00516,0.18955094,3.963,22.472640000000002,22.6255,5.00832,4.3934999999999995,-1.998e-29,2021.0
