"Station","prDM","Column1","scan","p","t090C","T0","t190C","T1","c0S/m","C0","c1S/m","C1","sbeox0V","oxy0","sbeox1V","oxy1","flECO-AFL","upoly0","depSM","sal00","sal11","sbeox0ML/L","sbeox1ML/L","flag","Year"
"ST_10_tue",0.4,56414.5,16.5,0.4,12.14875,12.14875,12.52485,12.52485,6.62500000000038e-05,6.62500000000038e-05,0.34717875,0.34717875,2.9585,2.9585,2.8596,2.8596,1.25088079404256,0.083156175,0.396,0.00629999999999997,2.44785,8.9338,7.3047,-9.99e-29,2021
"ST_10_tue",0.5,57413.8461538462,1015.84615384615,0.5,13.8096230769231,13.8096230769231,14.177,14.177,1.483094,1.483094,2.10324946153846,2.10324946153846,2.95926923076923,2.95926923076923,2.86078461538462,2.86078461538462,8.35279951518588,0.1360237,0.495,11.2328923076923,16.2723692307692,8.04713846153846,6.48583846153846,-9.99e-29,2021
"ST_10_tue",0.6,57420.625,1022.625,0.6,14.2667875,14.2667875,14.499575,14.499575,2.077722125,2.077722125,2.45197625,2.45197625,2.960225,2.960225,2.861725,2.861725,8.35025059864173,0.1497062875,0.594,16.019775,19.0867625,7.752875,6.3455625,-9.99e-29,2021
"ST_10_tue",0.7,57426.5294117647,1028.52941176471,0.7,14.5147647058824,14.5147647058824,14.6643823529412,14.6643823529412,2.39590123529412,2.39590123529412,2.63153429411765,2.63153429411765,2.96165882352941,2.96165882352941,2.86305882352941,2.86305882352941,8.35025059864173,0.159182258823529,0.693470588235294,18.6017647058824,20.5384647058824,7.61225294117647,6.28615882352941,-9.99e-29,2021
"ST_10_tue",0.8,57432,1034,0.8,14.6584,14.6584,14.7574,14.7574,2.579824,2.579824,2.735002,2.735002,2.9636,2.9636,2.8651,2.8651,8.35025059864173,0.1680497,0.793,20.0989,21.3764,7.5466,6.2653,-9.99e-29,2021
"ST_10_tue",0.9,59970.5,3572.5,0.9,15.239,15.239,15.2472,15.2472,2.967549,2.967549,2.9696255,2.9696255,2.75705,2.75705,2.7183,2.7183,0.795261961775402,0.179724,0.892,23.0998,23.11285,6.6343,5.7052,-9.99e-29,2021
"ST_10_tue",1,59250.75,2852.75,1,15.322575,15.322575,15.3351,15.3351,2.99537925,2.99537925,2.99786475,2.99786475,2.681825,2.681825,2.624575,2.624575,0.795261961775402,0.17280295,0.991,23.289175,23.3031,6.4301,5.53955,-9.99e-29,2021
"ST_10_tue",1.1,59028.2857142857,2630.28571428572,1.1,15.2192071428571,15.2192071428571,15.2282428571429,15.2282428571429,2.95384464285714,2.95384464285714,2.96578314285714,2.96578314285714,2.75706428571428,2.75706428571428,2.68821428571428,2.68821428571428,0.841415557771295,0.178855378571428,1.09,22.9920714285714,23.0896,6.72053571428571,5.73547142857142,-9.99e-29,2021
"ST_10_tue",1.2,59645.9999999995,3247.99999999951,1.2,15.3069499999999,15.3069499999999,15.3043999999999,15.3043999999999,2.98605499999997,2.98605499999997,2.98542399999998,2.98542399999998,2.71295000000006,2.71295000000006,2.65355000000005,2.65355000000005,0.820113898080922,0.179581800000003,1.189,23.2183499999998,23.2144499999999,6.53645000000024,5.60315000000017,-9.99e-29,2021
"ST_10_tue",1.3,58207.7142857143,1809.7142857143,1.3,14.9854142857143,14.9854142857143,14.9853142857143,14.9853142857143,2.89445971428571,2.89445971428571,2.91271671428571,2.91271671428571,2.92571428571428,2.92571428571428,2.84487142857143,2.84487142857143,0.915971366687739,0.192371614285714,1.288,22.6182,22.7757428571429,7.37005714285714,6.21185714285714,-9.99e-29,2021
